album,artist,Archer,Dylan,Rachel,Trent,Archer Z,Dylan Z,Rachel Z,Trent Z,Average Z,Stdev Z
Ambiguous Desire,Arlo Parks,4,2,,3,1.172527491,-0.551274992,,0.274562667,0.298605055,0.8621527
The Nightlife,Honey Dijon,,2,,2,,-0.551274992,,-0.605652942,-0.578463967,0.038451017
Kehlani,Kehlani,,3,,3,,0.25328851,,0.274562667,0.263925589,0.015043101
The Great Divide,Noah Kahan,,3,,2,,0.25328851,,-0.605652942,-0.176182216,0.607363325
It's Not That Deep (Unless You Want It To Be),Demi Lovato,3,0,,1,0.153545267,-2.160401996,,-1.485868551,-1.16424176,1.190029759
BLURRY,Ella Boh,3,3,,3,0.153545267,0.25328851,,0.274562667,0.227132148,0.064609746
Big Disgrace,Haute & Freddy,3,3,,3,0.153545267,0.25328851,,0.274562667,0.227132148,0.064609746
Till I Die,Lee Chae Yeon,,2,,2,,-0.551274992,,-0.605652942,-0.578463967,0.038451017
Girlfriend,Grace Ives,3,3,,2,0.153545267,0.25328851,,-0.605652942,-0.066273055,0.469771408
FENIAN,KNEECAP,,4,,4,,1.057852012,,1.154778276,1.106315144,0.068537219
Yo Favorite Trappa Favorite Rappa,Sexyy Red,,,,0,,,,-2.36608416,-2.36608416,#DIV/0!
IT'S BEEN AWFUL,Isaiah Rashad,,4,,4,,1.057852012,,1.154778276,1.106315144,0.068537219
GREENGREEN,CORTIS,4,3,3,3,1.172527491,0.25328851,0.415036436,0.274562667,0.528853776,0.435074868
HABIBTI,Drake,1,1,,0,-1.884419181,-1.355838494,,-2.36608416,-1.868780612,0.505304364
ICEMAN,Drake,2,1,,2,-0.865436957,-1.355838494,,-0.605652942,-0.942309465,0.380954889
MAID OF HONOUR,Drake,1,1,1,3,-1.884419181,-1.355838494,-1.504507079,0.274562667,-1.117550522,0.954390417
REDSTAR WU & THE WORLDWIDE SCOURGE,Genesis Owusu,3,3,,5,0.153545267,0.25328851,,2.034993885,0.813942554,1.058636833
BULLDAWG,Kenny Mason,,4,,4,,1.057852012,,1.154778276,1.106315144,0.068537219
